"Kam_num","Ind_spec","Length_1","Specificity1_1","Specificity2","Similarity","Big4","Big8","Audit_tenure","Audit_spec1","Gender","Auditor_tenure","Auditor_spec1","Partner","Ccp","Degree","Rep","Major","License","Roa","Bm","Quick","Leverage","Recvinv","Otherrec","Size","Growth","Loss","Age","Cfo","Audittype"
2,1,7.0604764,4.6249728,0.08755365,0.3733619,0,1,7,1,1,3,1,0,0,1,0,0,1,0.008952,2.69824,1.28775,0.561924,0.01426326,0.03784021,23.307629,0.35148733,0,22,0.01460088,1
2,1,7.1716568,4.4067192,0.06298003,0.74721667,0,1,1,0,0,18,0,0,0,1,0,0,1,0.003303,1.1019,0.808781,0.656307,0.3822554,0.0162136,22.687298,-0.18953145,0,22,0.02352328,1
3,1,7.3620106,5.0689042,0.10095238,0.741,0,1,6,1,1,2,1,0,0,1,0,1,1,0.034618,3.41667,1.29301,0.576934,0.13809615,0.00100611,24.203295,0.08808001,0,21,0.07310852,1
2,0,6.8741985,4.2626799,0.07342296,0.356,0,0,1,0,0,1,0,0,0,0,0,0,1,0.04663,1.37991,0.775169,0.450591,0.14021556,0.00714412,23.694005,0.05255669,0,21,0.10108354,1
2,0,7.2997974,4.9836066,0.09864865,0.36733333,0,1,1,1,0,6,0,0,1,1,0,1,1,0.005275,2.30851,0.436389,0.653134,0.03494151,0.04446048,23.667688,-0.05895713,0,21,0.06565493,1
1,1,6.6970342,3.4657359,0.03950617,0.75672367,0,1,1,1,0,3,1,0,0,1,0,0,1,0.066014,1.1498,1.04279,0.584406,0.30941891,0.00399846,23.495994,0.0528719,0,21,0.00280336,1
2,0,7.1188262,4.6913479,0.08825911,0.7669304,0,1,7,1,0,1,1,0,0,1,0,0,1,-0.040564,0.804909,0.658903,0.728095,0.06281794,0.01991592,21.959809,-0.49392922,1,21,-0.01440428,1
2,1,7.0958932,3.8501476,0.03893952,0.36658889,0,1,6,1,1,3,1,0,0,1,0,1,1,0.038394,5.64665,0.511024,0.737692,0.54585146,0.10639592,26.16438,0.13700875,0,21,-0.03394064,1
3,1,7.4977617,5.0238805,0.08425721,0.77349683,0,1,1,0,0,19,0,0,0,0,0,1,1,0.041464,1.69669,0.918755,0.634459,0.55647381,0.01041586,22.745222,0.04255871,0,18,-0.010742,1
2,2,7.0370276,4.6728288,0.0940246,0.75556667,0,1,1,1,1,1,0,0,0,1,0,0,1,0.024428,4.8007,0.457449,0.724716,0.70459702,0.00804316,24.18088,0.51260723,0,19,-0.01552464,1
2,1,6.664409,4.3040651,0.09438776,0.76166667,0,1,6,0,1,2,0,0,0,1,0,0,1,0.042204,0.541962,11.9388,0.064367,0.01426326,0.00133184,21.696671,0.33062328,0,18,0.02950865,1
2,2,7.2668273,5.0875963,0.11312849,0.74133333,1,0,3,1,0,4,0,0,1,1,1,0,1,0.028101,1.65687,1.93785,0.434482,0.1697487,0.03168328,22.457319,0.12295179,0,18,0.04124752,1
3,1,7.6577553,4.4773368,0.04156826,0.76263833,0,1,8,1,0,23,1,1,1,1,1,0,0,0.021089,5.80673,0.766405,0.684216,0.17374785,0.02967037,25.984732,0.01598,0,14,0.05440113,1
2,1,7.185387,4.8121844,0.09318182,0.345,0,0,2,1,0,10,0,1,0,0,0,0,1,0.024254,0.895993,0.628341,0.695233,0.14305492,0.07955654,22.836404,0.04150304,0,18,0.04504843,1
2,1,6.9177056,4.5108595,0.09009901,0.73993333,0,1,4,1,0,6,0,0,0,1,0,0,1,0.038664,0.711887,0.911669,0.536344,0.35117708,0.01637485,21.492267,-0.42980835,0,18,-0.15271617,1
2,1,6.8762646,4.3438054,0.07946336,0.4335,0,0,7,0,0,0,0,0,1,1,0,0,1,0.020182,1.84206,0.687311,0.570549,0.36573141,0.01625149,21.824541,0.16884101,0,18,0.07765714,1
2,0,7.4109519,5.0689042,0.09613059,0.39922727,0,1,3,1,0,4,0,0,0,1,0,0,1,0.056845,1.58115,2.77982,0.475944,0.18585937,0.03225627,22.701372,-0.34368374,0,18,0.08931416,1
2,1,6.8772961,4.7791235,0.12268041,0.384,0,1,10,1,1,8,0,0,1,1,0,0,1,0.043605,1.29971,3.22826,0.27721,0.05111558,0.00436276,23.416079,0.07063405,0,18,0.08088321,1
4,2,7.719574,4.9199809,0.06083481,0.568625,0,1,9,0,0,11,1,0,0,1,1,1,1,0.020936,3.36194,1.53472,0.585172,0.34769938,0.00841305,25.260764,0.23304576,0,18,0.05418682,1
3,1,7.389564,4.4659081,0.05373687,0.49277778,0,1,1,1,1,20,1,0,0,0,0,1,1,0.024245,1.07159,0.623323,0.410016,0.14131051,0.00138828,23.883394,2.0552244,0,18,0.05887688,1
